,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,24.69,60,1017,Sky is Clear,1435390925,2.6,140,Milano,2015/6/27 9:42,250
1,25.34,57,1017,Sky is Clear,1435394243,2.1,160,Milano,2015/6/27 10:37,250
2,27.7,51,1017,Sky is Clear,1435399015,1.5,210,Milano,2015/6/27 11:56,250
3,28.36,42,1017,Sky is Clear,1435402416,2.1,220,Milano,2015/6/27 12:53,250
4,29.45,42,1016,few clouds,1435406054,2.6,210,Milano,2015/6/27 13:54,250
5,30.27,39,1015,few clouds,1435409700,2.1,230,Milano,2015/6/27 14:55,250
6,30.51,42,1014,Sky is Clear,1435416893,2.6,250,Milano,2015/6/27 16:54,250
7,30.6,40,1014,Sky is Clear,1435420537,3.1,220,Milano,2015/6/27 17:55,250
8,30.18,35,1013,Sky is Clear,1435424291,2.6,270,Milano,2015/6/27 18:58,250
9,28.95,35,1013,heavy intensity rain,1435427929,1.5,310,Milano,2015/6/27 19:58,250
10,23.88,60,1015,Sky is Clear,1435438353,2.1,200,Milano,2015/6/27 22:52,250
11,22.99,57,1015,Sky is Clear,1435442236,2.1,210,Milano,2015/6/27 23:57,250
12,21.95,56,1016,few clouds,1435445858,4.6,120,Milano,2015/6/28 0:57,250
13,20.27,68,1017,Sky is Clear,1435453226,2.6,90,Milano,2015/6/28 3:00,250
14,19.62,72,1017,Sky is Clear,1435456482,2.6,50,Milano,2015/6/28 3:54,250
15,18.68,72,1017,Sky is Clear,1435460036,2.6,40,Milano,2015/6/28 4:53,250
16,18.28,72,1017,Sky is Clear,1435463874,2.6,40,Milano,2015/6/28 5:57,250
17,18.86,77,1017,Sky is Clear,1435467177,0.5,0,Milano,2015/6/28 6:52,250
18,19.33,68,1017,Sky is Clear,1435467177,0.8,50,Milano,2015/6/29 7:52,250
19,20.3,70,1017,Sky is Clear,1435467177,1.1,40,Milano,2015/6/30 8:52,250
