,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,24.86,61,1017,very heavy rain,1435390925,2.01,159.5,Ravenna,2015/6/27 9:42,8
1,25.71,73,1017,very heavy rain,1435394244,2.1,100,Ravenna,2015/6/27 10:37,8
2,26.41,61,1017,very heavy rain,1435399021,4.6,80,Ravenna,2015/6/27 11:57,8
3,28.29,54,1016,very heavy rain,1435402423,4.6,90,Ravenna,2015/6/27 12:53,8
4,28.47,54,1016,very heavy rain,1435406060,6.2,80,Ravenna,2015/6/27 13:54,8
5,27.73,61,1015,very heavy rain,1435409706,6.7,80,Ravenna,2015/6/27 14:55,8
6,27.37,57,1014,very heavy rain,1435416900,6.7,90,Ravenna,2015/6/27 16:55,8
7,27.35,57,1014,very heavy rain,1435420543,5.7,90,Ravenna,2015/6/27 17:55,8
8,27.13,61,1013,very heavy rain,1435424297,4.6,90,Ravenna,2015/6/27 18:58,8
9,26.03,60,1014,very heavy rain,1435427938,2.06,97,Ravenna,2015/6/27 19:58,8
10,23.39,79,1016,very heavy rain,1435438359,2.06,89,Ravenna,2015/6/27 22:52,8
11,22.82,80,1016,very heavy rain,1435442245,2.86,88.0147,Ravenna,2015/6/27 23:57,8
12,21.59,81,1016,very heavy rain,1435445866,2.01,107.004,Ravenna,2015/6/28 0:57,8
13,19.81,81,1016,very heavy rain,1435453234,2.01,107.004,Ravenna,2015/6/28 3:00,8
14,19.2,82,1016,very heavy rain,1435456489,1.06,132.503,Ravenna,2015/6/28 3:54,8
15,18.68,88,1015,very heavy rain,1435456489,1.06,132.503,Ravenna,2015/6/28 4:54,8
16,18.22,85,1016,very heavy rain,1435456489,1.06,132.503,Ravenna,2015/6/28 5:58,8
17,19.2,87,1016,very heavy rain,1435456489,1.06,251,Ravenna,2015/6/28 6:52,8
18,20.33,79,1017,very heavy rain,1435456489,1.06,251,Ravenna,2015/6/29 7:52,8
19,22.1,72,1016,very heavy rain,1435456489,1.06,251,Ravenna,2015/6/30 8:52,8
